"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"167","Tim Jones (JAC)","11","18","83","7.5","15","0","0","0","0","0","0","17","8.3","0.5","0.1%"
"178","Isaiah McKenzie (NYG)","11","14","82","7.5","30","2","0","3","14","0","2","13","5.6","0.4","0.5%"
"115","Olamide Zaccheaus (WAS)","10","20","164","16.4","34","5","2","0","0","0","0","17","28.4","1.7","0.1%"
"146","Jalen Guyton (LAC)","10","21","89","8.9","18","0","1","0","0","0","0","8","14.9","1.9","1.1%"
"158","Laviska Shenault Jr. (SEA)","10","10","60","6.0","14","0","0","12","55","0","0","8","11.5","1.4","0.1%"
"162","Sterling Shepard (NYG)","10","22","57","5.7","13","0","1","1","6","0","1","15","10.3","0.7","0.1%"
"166","Richie James Jr. (KC)","10","14","114","11.4","45","3","0","0","0","0","1","9","9.4","1.0","0.1%"
"139","River Cracraft (MIA)","9","12","121","13.4","24","2","1","0","0","0","0","10","18.1","1.8","0.1%"
"124","Ihmir Smith-Marsette (CAR)","8","10","51","6.4","18","0","0","8","74","1","0","17","24.5","1.4","0.1%"
"150","Xavier Hutchinson (HOU)","8","19","90","11.3","34","2","0","5","49","0","0","15","13.9","0.9","0.2%"
"153","Chase Claypool (MIA)","8","21","77","9.6","20","1","1","0","0","0","0","11","13.7","1.2","0.7%"
"154","Ben Skowronek (LAR)","8","12","66","8.3","20","1","1","2","9","0","0","17","13.5","0.8","0.1%"
"168","Samori Toure (GB)","8","18","78","9.8","35","2","0","0","0","0","1","11","7.8","0.7","0.1%"
"131","Jalen Reagor (NE)","7","23","138","19.7","39","5","0","1","17","0","0","11","21.5","2.0","0.1%"
"152","Charlie Jones (CIN)","7","9","64","9.1","35","2","0","2","13","0","0","11","13.7","1.2","0.3%"
"123","Ronnie Bell (SF)","6","13","68","11.3","20","1","3","0","0","0","0","16","24.8","1.6","0.1%"
"174","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","6.4","0.9","0.1%"
"179","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","5.3","0.5","0.4%"
"183","Keelan Doss (LAC)","6","13","33","5.5","9","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"145","David Moore (CAR)","5","7","94","18.8","52","4","1","0","0","0","0","7","15.4","2.2","0.1%"
"155","Randall Cobb (NYJ)","5","17","39","7.8","15","0","1","0","0","0","0","11","11.9","1.1","0.1%"
"157","Jason Brownlee (NYJ)","5","8","56","11.2","24","1","1","0","0","0","0","7","11.6","1.7","0.5%"
"164","Keith Kirkwood (NO)","5","9","37","7.4","13","0","1","0","0","0","0","13","9.7","0.7","0.0%"
"175","Equanimeous St. Brown (NO)","5","6","62","12.4","21","1","0","0","0","0","0","7","6.2","0.9","0.1%"
"194","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","1.5","0.3","0.1%"
"340","Ty Montgomery II (FA)","5","12","40","8.0","17","0","0","3","9","0","0","13","0.0","0.0","0.1%"
"137","Robbie Chosen (MIA)","4","6","126","31.5","68","6","1","0","0","0","0","9","18.6","2.1","0.0%"
"163","Marquise Goodwin (CLE)","4","13","67","16.8","57","4","0","4","33","0","0","12","10.0","0.8","0.0%"
"165","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","9.6","1.1","0.0%"
"169","Velus Jones Jr. (CHI)","4","7","20","5.0","11","0","0","8","51","0","0","14","7.1","0.5","0.1%"
"176","Rakim Jarrett (TB)","4","9","60","15.0","41","3","0","1","0","0","0","10","6.0","0.6","0.1%"
"177","DeAndre Carter (LV)","4","7","39","9.8","16","0","0","3","18","0","0","17","5.7","0.3","0.0%"
"181","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","4.2","0.3","0.1%"
"184","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","3.3","0.3","0.1%"
"191","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","1.9","0.1","0.3%"
"199","Austin Trammell (LAR)","4","7","29","7.3","14","0","0","0","0","0","1","15","0.9","0.1","0.0%"
"156","D.J. Montgomery (IND)","3","8","56","18.7","34","2","1","0","0","0","0","7","11.6","1.7","0.1%"
"172","Chris Conley (SF)","3","6","69","23.0","48","3","0","0","0","0","0","8","6.9","0.9","0.1%"
"182","Elijah Cooks (JAC)","3","4","38","12.7","23","1","0","0","0","0","0","9","3.8","0.4","0.0%"
"185","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","2.9","0.5","0.1%"
"187","Steven Sims Jr. (HOU)","3","3","25","8.3","23","1","0","1","1","0","0","3","2.6","0.9","0.0%"
"192","Miles Boykin (NYG)","3","4","17","5.7","6","0","0","0","0","0","0","16","1.7","0.1","0.0%"
"173","Tyler Johnson (LAR)","2","3","8","4.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"186","Trishton Jackson (MIN)","2","4","9","4.5","7","0","0","0","0","0","0","6","2.9","0.5","0.0%"
"190","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","1.9","0.4","0.2%"
"195","Willie Snead IV (SF)","2","3","14","7.0","9","0","0","0","0","0","0","4","1.4","0.4","0.0%"
